GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
1400000US12086000123,12086000123,"Census Tract 1.23, Miami-Dade County, Florida",1549,349,0,13,93,72,461,204,506,221,197,128,147,110,145,80,1152,330,0,13,62,64,343,209,352,190,197,128,117,102,81,53,63,68,0,13,14,25,23,27,26,29,0,13,0,13,0,13,95,77,0,13,0,13,30,38,15,23,0,13,15,24,35,54,109,93,0,13,17,26,31,41,46,71,0,13,0,13,15,23,82,109,0,13,0,13,34,53,33,52,0,13,15,24,0,13,48,45,0,13,0,13,0,13,34,40,0,13,0,13,14,21
1400000US12086000124,12086000124,"Census Tract 1.24, Miami-Dade County, Florida",1277,253,44,50,126,89,749,215,218,85,79,79,36,34,25,37,890,210,35,49,35,60,605,187,133,67,21,24,36,34,25,37,110,94,0,13,20,28,52,74,0,13,38,60,0,13,0,13,132,99,0,13,46,60,0,13,66,52,20,45,0,13,0,13,84,57,9,10,7,12,59,51,9,15,0,13,0,13,0,13,56,50,0,13,13,14,33,40,10,15,0,13,0,13,0,13,5,9,0,13,5,9,0,13,0,13,0,13,0,13,0,13
1400000US12086000125,12086000125,"Census Tract 1.25, Miami-Dade County, Florida",1541,319,0,13,88,81,650,218,311,140,225,111,150,93,117,79,1145,260,0,13,71,71,547,198,217,117,156,102,83,57,71,59,132,126,0,13,0,13,27,45,31,52,16,26,35,57,23,35,67,71,0,13,17,30,25,30,12,22,13,20,0,13,0,13,54,87,0,13,0,13,21,33,22,36,0,13,0,13,11,17,13,20,0,13,0,13,0,13,0,13,13,20,0,13,0,13,130,86,0,13,0,13,30,44,29,34,27,41,32,40,12,20
1400000US12086000126,12086000126,"Census Tract 1.26, Miami-Dade County, Florida",678,214,0,13,36,62,392,264,150,134,21,24,39,31,40,40,324,148,0,13,13,22,181,129,40,62,21,24,39,31,30,36,85,123,0,13,0,13,25,43,60,95,0,13,0,13,0,13,23,58,0,13,23,58,0,13,0,13,0,13,0,13,0,13,186,132,0,13,0,13,186,132,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,60,66,0,13,0,13,0,13,50,64,0,13,0,13,10,16
1400000US12086000127,12086000127,"Census Tract 1.27, Miami-Dade County, Florida",1708,258,37,42,36,41,756,218,493,150,176,78,74,48,136,74,1356,257,37,42,36,41,636,215,402,152,132,67,38,33,75,61,198,131,0,13,0,13,92,87,70,70,9,16,11,17,16,25,28,27,0,13,0,13,28,27,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,15,25,0,13,0,13,0,13,0,13,0,13,15,25,0,13,111,97,0,13,0,13,0,13,21,30,35,45,10,16,45,52
1400000US12086000128,12086000128,"Census Tract 1.28, Miami-Dade County, Florida",1038,293,21,32,24,37,633,233,196,108,36,29,83,66,45,47,950,299,21,32,24,37,608,236,157,95,36,29,59,50,45,47,20,36,0,13,0,13,7,13,13,23,0,13,0,13,0,13,7,11,0,13,0,13,7,11,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,16,0,13,0,13,11,16,0,13,0,13,0,13,0,13,50,81,0,13,0,13,0,13,26,41,0,13,24,41,0,13
1400000US12086000129,12086000129,"Census Tract 1.29, Miami-Dade County, Florida",779,243,0,13,48,57,138,107,130,108,132,72,117,72,214,94,500,198,0,13,18,31,107,100,99,99,98,57,39,35,139,80,62,89,0,13,0,13,31,45,31,44,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,51,83,0,13,30,48,0,13,0,13,21,35,0,13,0,13,166,97,0,13,0,13,0,13,0,13,13,21,78,72,75,55
1400000US12086000130,12086000130,"Census Tract 1.30, Miami-Dade County, Florida",1022,300,0,13,12,19,334,200,203,101,201,132,86,63,186,109,764,237,0,13,12,19,253,150,175,86,178,134,41,38,105,78,81,108,0,13,0,13,33,65,0,13,23,42,0,13,25,45,36,55,0,13,0,13,23,35,13,20,0,13,0,13,0,13,15,24,0,13,0,13,0,13,15,24,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,126,87,0,13,0,13,25,38,0,13,0,13,45,47,56,53
1400000US12086000131,12086000131,"Census Tract 1.31, Miami-Dade County, Florida",1104,272,0,13,24,29,589,212,222,143,96,66,117,71,56,57,932,262,0,13,24,29,541,209,159,95,92,64,75,54,41,40,41,44,0,13,0,13,13,21,24,28,4,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,12,0,13,0,13,6,12,0,13,0,13,0,13,0,13,26,29,0,13,0,13,11,17,0,13,0,13,0,13,15,24,99,81,0,13,0,13,18,21,39,58,0,13,42,51,0,13
1400000US12086000132,12086000132,"Census Tract 1.32, Miami-Dade County, Florida",2338,454,0,13,45,51,1100,288,488,237,200,128,227,157,278,131,1788,396,0,13,45,51,1080,282,208,132,143,107,132,155,180,97,113,103,0,13,0,13,0,13,68,87,13,25,0,13,32,51,22,35,0,13,0,13,0,13,22,35,0,13,0,13,0,13,4,33,0,13,0,13,0,13,4,33,0,13,0,13,0,13,19,32,0,13,0,13,0,13,0,13,0,13,0,13,19,32,392,187,0,13,0,13,20,32,186,124,44,50,95,94,47,52
1400000US12086000133,12086000133,"Census Tract 1.33, Miami-Dade County, Florida",2807,535,27,43,18,30,1280,374,934,327,278,136,81,73,189,112,2267,411,27,43,18,30,969,299,776,277,236,124,52,56,189,112,246,148,0,19,0,19,123,114,94,78,0,19,29,47,0,19,23,39,0,19,0,19,0,19,0,19,23,39,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,85,111,0,19,0,19,85,111,0,19,0,19,0,19,0,19,186,127,0,19,0,19,103,86,64,66,19,31,0,19,0,19
1400000US12086000134,12086000134,"Census Tract 1.34, Miami-Dade County, Florida",1416,302,0,13,182,193,499,207,345,149,153,98,49,43,188,119,1234,276,0,13,182,193,429,163,318,152,137,97,49,43,119,92,88,76,0,13,0,13,53,68,27,28,0,13,0,13,8,13,43,60,0,13,0,13,0,13,0,13,7,13,0,13,36,58,38,52,0,13,0,13,4,15,0,13,9,26,0,13,25,41,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,13,21,0,13,0,13,13,21,0,13,0,13,0,13,0,13
1400000US12086000140,12086000140,"Census Tract 1.40, Miami-Dade County, Florida",1861,375,8,13,98,70,939,257,538,185,124,97,125,79,29,35,1454,363,0,13,63,52,697,246,439,188,124,97,110,75,21,33,65,58,0,13,12,20,44,43,9,16,0,13,0,13,0,13,134,115,8,13,23,34,42,47,61,70,0,13,0,13,0,13,111,74,0,13,0,13,59,61,29,39,0,13,15,23,8,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,97,64,0,13,0,13,97,64,0,13,0,13,0,13,0,13
1400000US12086000202,12086000202,"Census Tract 2.02, Miami-Dade County, Florida",3513,553,152,125,214,152,1571,366,837,340,605,308,115,89,19,30,2458,490,74,85,158,124,1079,291,598,265,477,275,72,66,0,19,347,239,0,19,56,64,184,207,107,93,0,19,0,19,0,19,518,272,78,95,0,19,137,160,132,119,128,140,43,63,0,19,153,213,0,19,0,19,153,213,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,37,30,0,19,0,19,18,30,0,19,0,19,0,19,19,30
1400000US12086000204,12086000204,"Census Tract 2.04, Miami-Dade County, Florida",2508,316,16,24,205,87,1140,262,593,135,146,64,325,119,83,63,1925,296,0,13,157,78,924,207,474,133,99,55,224,99,47,50,263,138,9,15,20,25,101,87,38,36,47,47,48,44,0,13,204,113,7,21,28,41,68,55,42,46,0,13,23,28,36,40,28,45,0,13,0,13,0,13,28,45,0,13,0,13,0,13,11,18,0,13,0,13,0,13,11,18,0,13,0,13,0,13,77,63,0,13,0,13,47,58,0,13,0,13,30,45,0,13
1400000US12086000206,12086000206,"Census Tract 2.06, Miami-Dade County, Florida",2465,351,58,58,363,218,1099,220,555,144,223,93,120,74,47,44,1647,291,31,48,219,150,807,218,368,110,112,69,71,57,39,43,195,104,22,36,35,43,21,34,49,35,68,53,0,19,0,19,421,191,5,10,76,79,222,135,52,56,34,38,24,29,8,13,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,142,98,0,19,33,55,33,36,42,68,9,13,25,39,0,19,60,67,0,19,0,19,16,26,44,64,0,19,0,19,0,19
1400000US12086000209,12086000209,"Census Tract 2.09, Miami-Dade County, Florida",2753,422,86,75,356,212,1582,331,287,132,269,127,67,58,106,66,1834,326,15,23,220,129,1118,241,149,93,249,131,9,20,74,54,399,149,40,52,112,101,161,106,66,71,20,24,0,19,0,19,446,201,31,46,24,31,243,170,72,73,0,19,44,49,32,41,40,40,0,19,0,19,31,35,0,19,0,19,9,16,0,19,17,36,0,19,0,19,12,30,0,19,0,19,5,17,0,19,17,26,0,19,0,19,17,26,0,19,0,19,0,19,0,19
1400000US12086000211,12086000211,"Census Tract 2.11, Miami-Dade County, Florida",1428,203,24,28,59,47,726,160,289,96,193,109,82,53,55,41,1086,199,0,13,25,28,614,165,216,91,150,100,64,45,17,15,129,80,0,13,0,13,70,64,33,43,8,12,0,13,18,19,161,90,24,28,34,37,42,40,26,32,15,25,0,13,20,32,20,29,0,13,0,13,0,13,0,13,20,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,32,35,0,13,0,13,0,13,14,22,0,13,18,29,0,13
1400000US12086000212,12086000212,"Census Tract 2.12, Miami-Dade County, Florida",1748,255,34,54,116,70,1073,201,301,111,106,79,88,63,30,28,1270,207,34,54,47,29,811,174,232,102,57,52,74,60,15,20,81,73,0,13,16,26,57,52,4,6,0,13,0,13,4,8,287,125,0,13,31,47,159,79,56,53,30,48,0,13,11,17,19,30,0,13,0,13,0,13,0,13,19,30,0,13,0,13,91,66,0,13,22,35,46,52,9,13,0,13,14,22,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US12086000213,12086000213,"Census Tract 2.13, Miami-Dade County, Florida",2146,320,44,38,205,118,821,195,452,144,281,128,169,93,174,117,1506,292,30,33,141,101,630,175,296,137,175,98,124,76,110,111,305,112,14,21,27,30,120,79,69,56,67,48,8,12,0,19,198,117,0,19,37,45,21,32,59,55,0,19,28,35,53,37,30,28,0,19,0,19,9,14,21,24,0,19,0,19,0,19,55,55,0,19,0,19,16,24,0,19,30,47,9,13,0,19,52,38,0,19,0,19,25,32,7,11,9,14,0,19,11,18
1400000US12086000214,12086000214,"Census Tract 2.14, Miami-Dade County, Florida",2451,329,52,62,269,113,934,239,645,191,246,92,207,100,98,65,1571,265,47,61,129,73,684,176,382,147,136,73,154,89,39,33,408,185,5,11,115,84,101,91,103,60,55,46,15,23,14,23,370,158,0,19,25,40,113,113,125,87,40,43,22,32,45,50,16,25,0,19,0,19,0,19,0,19,0,19,16,25,0,19,15,25,0,19,0,19,0,19,15,25,0,19,0,19,0,19,71,51,0,19,0,19,36,37,20,25,15,24,0,19,0,19
1400000US12086000215,12086000215,"Census Tract 2.15, Miami-Dade County, Florida",1615,261,0,13,185,107,769,239,229,128,171,106,169,84,92,64,1318,265,0,13,143,94,633,220,209,121,125,77,151,78,57,52,60,60,0,13,0,13,10,16,12,23,20,32,0,13,18,29,178,126,0,13,12,19,105,93,0,13,26,52,18,30,17,27,20,32,0,13,12,20,0,13,8,13,0,13,0,13,0,13,18,31,0,13,18,31,0,13,0,13,0,13,0,13,0,13,21,34,0,13,0,13,21,34,0,13,0,13,0,13,0,13
1400000US12086000216,12086000216,"Census Tract 2.16, Miami-Dade County, Florida",2033,284,75,64,202,117,703,214,503,123,264,96,171,102,115,64,1467,256,17,27,43,43,565,197,440,122,164,66,162,103,76,43,240,92,0,13,46,56,72,64,63,55,50,41,9,15,0,13,284,113,25,41,113,89,57,85,0,13,50,47,0,13,39,48,9,14,0,13,0,13,9,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,33,48,33,48,0,13,0,13,0,13,0,13,0,13,0,13
1400000US12086000217,12086000217,"Census Tract 2.17, Miami-Dade County, Florida",2680,278,34,36,310,114,1125,247,829,175,253,97,84,58,45,42,2064,291,34,36,269,110,848,231,630,193,210,93,50,46,23,22,259,142,0,19,0,19,152,120,78,53,29,35,0,19,0,19,232,122,0,19,41,56,70,65,65,61,0,19,34,38,22,35,27,31,0,19,0,19,27,31,0,19,0,19,0,19,0,19,82,71,0,19,0,19,28,44,40,49,14,22,0,19,0,19,16,25,0,19,0,19,0,19,16,25,0,19,0,19,0,19
